County,Agency Name,Adult Or Juvenile,Agency Name,County,,Drug Sale - Opium/Cocaine,Drug Sale - Marijuana,Drug Sale - Synthetic,Drug Sale - Other Dangerous,Drug Possession - Opium/Cocaine,Drug Possession - Marijuana,Drug Possession - Synthetic,Drug Possession - Other Dangerous,Drug - Unknown
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Arrest Count,0,0,0,0,0,0,0,0,0
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Bangor PD,Total,Bangor PD,La Crosse,Min. year of year,2020,2020,2020,2020,2020,2020,2020,2020,2020
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Arrest Count,0,1,0,0,4,6,1,14,0
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Campbell PD,Total,Campbell PD,La Crosse,Min. year of year,2020,2020,2020,2020,2020,2020,2020,2020,2020
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Arrest Count,0,0,0,0,5,17,1,8,0
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Holmen PD,Total,Holmen PD,La Crosse,Min. year of year,2020,2020,2020,2020,2020,2020,2020,2020,2020
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Arrest Count,0,0,0,2,3,16,1,22,0
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,La Crosse Co SO,Total,La Crosse Co SO,La Crosse,Min. year of year,2020,2020,2020,2020,2020,2020,2020,2020,2020
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Arrest Count,12,3,2,33,85,161,7,129,1
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,La Crosse PD,Total,La Crosse PD,La Crosse,Min. year of year,2020,2020,2020,2020,2020,2020,2020,2020,2020
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Arrest Count,0,0,0,4,1,18,0,21,0
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Onalaska PD,Total,Onalaska PD,La Crosse,Min. year of year,2020,2020,2020,2020,2020,2020,2020,2020,2020
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Arrest Count,0,0,0,0,0,53,1,1,0
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,UW-La Crosse PD,Total,UW-La Crosse PD,La Crosse,Min. year of year,2020,2020,2020,2020,2020,2020,2020,2020,2020
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Arrest Count,0,0,0,0,1,17,1,5,0
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,West Salem PD,Total,West Salem PD,La Crosse,Min. year of year,2020,2020,2020,2020,2020,2020,2020,2020,2020
La Crosse,Total,Total,Total,Total,Arrest Count,12,4,2,39,99,288,12,200,1
La Crosse,Total,Total,Total,Total,Min. Months Submitted,12,12,12,12,12,12,12,12,12
La Crosse,Total,Total,Total,Total,Min. year of year,2020,2020,2020,2020,2020,2020,2020,2020,2020
